Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Pau Gasol (12663795),Pau Gasol,12663795,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,MIL,13.46
SG,Donte DiVincenzo (12663796),Donte DiVincenzo,12663796,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,MIL,11.05
SG,Jodie Meeks (12663797),Jodie Meeks,12663797,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,TOR,6.72
SG,Patrick McCaw (12663798),Patrick McCaw,12663798,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,TOR,6.55
PF,Chris Boucher (12663799),Chris Boucher,12663799,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,TOR,8.21
PF,D.J. Wilson (12663800),D.J. Wilson,12663800,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,MIL,13.93
PF,Malcolm Miller (12663801),Malcolm Miller,12663801,CPT,1500,TOR@MIL 05/17/2019 08:30PM ET,TOR,3.87
SF,Norman Powell (12663754),Norman Powell,12663754,UTIL,1400,TOR@MIL 05/17/2019 08:30PM ET,TOR,15.03
SG,Sterling Brown (12663755),Sterling Brown,12663755,UTIL,1200,TOR@MIL 05/17/2019 08:30PM ET,MIL,14.06
SF,Bonzie Colson (12663756),Bonzie Colson,12663756,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,MIL,12.12
PG,Jeremy Lin (12663757),Jeremy Lin,12663757,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,17.47
SG,Tony Snell (12663758),Tony Snell,12663758,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,MIL,10.84
PG,Tim Frazier (12663759),Tim Frazier,12663759,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,MIL,15.03
PF,Eric Moreland (12663760),Eric Moreland,12663760,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,5.23
SF,OG Anunoby (12663761),OG Anunoby,12663761,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,13.85
PG,Jordan Loyd (12663762),Jordan Loyd,12663762,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,4.19
C,Pau Gasol (12663763),Pau Gasol,12663763,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,MIL,13.46
SG,Donte DiVincenzo (12663764),Donte DiVincenzo,12663764,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,MIL,11.05
SG,Jodie Meeks (12663765),Jodie Meeks,12663765,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,6.72
SG,Patrick McCaw (12663766),Patrick McCaw,12663766,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,6.55
PF,Chris Boucher (12663767),Chris Boucher,12663767,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,8.21
PF,D.J. Wilson (12663768),D.J. Wilson,12663768,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,MIL,13.93
PF,Malcolm Miller (12663769),Malcolm Miller,12663769,UTIL,1000,TOR@MIL 05/17/2019 08:30PM ET,TOR,3.87
